Y1,Y2,Y3,O1,R1,R2,R3,B1,B2,B3,B4,B5,Bk,Col_Reten
0.23,0.0,0.0,0.228,0.74,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,248.275
0.0,0.422,0.0,0.261,0.0,0.0,0.084,0.0,0.514,0.0,0.0,0.0,0.0,250.346
0.0,0.0,0.0,0.81,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,250.264
0.0,0.0,1.44,0.0,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,250.016
0.0,0.43,0.0,0.28,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.0,0.0,250.475
0.0,0.328,0.0,0.251,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.245,251.213
0.0,0.0,0.82,0.23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,250.965
0.0,0.0,1.23,0.11,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.25,250.496
0.0,0.0,0.815,0.172,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.247,248.734
0.0,0.469,0.0,0.248,0.0,0.0,0.092,0.129,0.0,0.0,0.0,0.0,0.0,251.326
0.0,0.0,1.49,0.0,0.816,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,248.32
0.22,0.0,0.0,0.25,0.0,0.186,0.0,0.0,0.44,0.0,0.0,0.0,0.0,249.217
0.0,0.0,0.866,0.16,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.254,248.375
0.0,0.45,0.0,0.15,0.64,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,250.214
0.186,0.0,0.0,0.309,0.0,0.0,0.083,0.133,0.0,0.0,0.0,0.0,0.0,246.307
0.0,0.0,1.33,0.114,0.65,0.0,0.0,0.0,0.42,0.06,0.0,0.0,0.0,249.542
0.0,0.0,1.1,0.13,0.0,0.16,0.0,0.0,0.0,0.024,0.0,0.0,0.23,248.734
0.0,0.0,0.0,0.76,0.0,0.144,0.0,0.0,0.47,0.0,0.0,0.0,0.0,250.169
0.0,0.0,1.526,0.0,0.0,0.303,0.0,0.12,0.0,0.0,0.0,0.0,0.0,250.016
0.0,0.0,1.55,0.0,0.0,0.0,0.098,0.124,0.0,0.0,0.0,0.0,0.0,249.117
0.0,0.0,0.872,0.159,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.254,248.822
0.0,0.522,0.0,0.217,0.0,0.334,0.0,0.0,0.0,0.408,0.0,0.0,0.0,250.545
0.0,0.356,0.0,0.242,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.249,250.59
0.206,0.0,0.0,0.249,0.667,0.0,0.0,0.0,0.522,0.0,0.0,0.0,0.0,245.441
0.0,0.0,0.0,0.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,249.79
0.0,0.68,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,249.518
0.0,0.0,1.298,0.058,0.676,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,248.45
0.0,0.0,1.02,0.169,0.0,0.243,0.0,0.124,0.0,0.0,0.0,0.0,0.0,249.608
0.0,0.54,0.0,0.28,0.0,0.3,0.0,0.0,0.0,0.39,0.0,0.0,0.0,250.545
0.11,0.0,0.0,0.3,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.2,250.656
0.269,0.0,0.0,0.189,0.909,0.0,0.0,0.0,0.0,0.0,0.354,0.0,0.0,248.95
0.143,0.0,0.0,0.282,0.0,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.253,250.163
0.0,0.0,1.47,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.23,249.805
0.0,0.0,1.197,0.12,0.0,0.295,0.0,0.0,0.0,0.408,0.0,0.0,0.0,250.548
0.0,0.0,0.0,0.403,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.269,249.685
0.12,0.0,0.0,0.39,0.69,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,250.689
0.0,0.57,0.0,0.29,0.0,0.32,0.0,0.0,0.0,0.0,0.37,0.0,0.0,250.586
0.216,0.0,0.0,0.29,0.0,0.0,0.101,0.0,0.0,0.416,0.0,0.0,0.0,246.876
0.0,0.0,1.488,0.0,0.817,0.0,0.0,0.0,0.0,0.409,0.0,0.0,0.0,250.3
0.0,0.0,1.67,0.0,0.59,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.21,248.723
0.0,0.0,1.5,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,249.379
0.0,0.0,1.529,0.0,0.0,0.349,0.0,0.0,0.0,0.0,0.311,0.0,0.0,249.969
0.174,0.0,0.0,0.313,0.0,0.0,0.077,0.0,0.52,0.0,0.0,0.0,0.0,245.269
0.34,0.0,0.0,0.3,0.0,0.0,0.078,0.13,0.0,0.0,0.0,0.0,0.0,246.307
0.0,0.935,0.0,0.0,0.92,0.0,0.0,0.0,0.28,0.0,0.15,0.0,0.0,248.683
0.0,0.0,1.9,0.0,0.7,0.0,0.0,0.0,0.36,0.14,0.0,0.0,0.0,248.323
0.0,0.53,0.0,0.12,0.0,0.0,0.08,0.126,0.0,0.0,0.0,0.0,0.0,251.326
0.0,0.0,1.458,0.0,0.724,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,249.396
0.0,0.0,1.57,0.0,0.0,0.0,0.088,0.0,0.0,0.41,0.0,0.0,0.0,248.891
0.21,0.0,0.0,0.298,0.0,0.0,0.1,0.0,0.0,0.0,0.319,0.0,0.0,246.875
0.0,0.79,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.51,0.0,0.0,0.0,251.174
0.0,0.0,1.291,0.101,0.0,0.0,0.097,0.0,0.0,0.0,0.315,0.0,0.0,250.671
0.0,0.0,0.0,0.77,0.0,0.0,0.06,0.0,0.52,0.0,0.0,0.0,0.0,251.821
0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.13,0.0,0.0,0.0,0.0,0.0,249.48
0.0,0.0,1.3,0.13,0.0,0.0,0.075,0.0,0.44,0.0,0.0,0.0,0.0,250.903
0.0,0.0,0.0,0.4,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.269,251.578
0.0,0.0,1.26,0.11,0.0,0.21,0.0,0.0,0.0,0.0,0.31,0.0,0.0,250.895
0.0,0.0,1.465,0.0,0.819,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,249.379
0.0,0.524,0.0,0.174,0.727,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.0,251.451
0.34,0.0,0.0,0.3,0.0,0.0,0.11,0.0,0.0,0.44,0.0,0.0,0.0,246.876
0.0,0.387,0.0,0.27,0.0,0.25,0.0,0.0,0.497,0.0,0.0,0.0,0.0,250.475
0.0,0.0,1.58,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,249.264
0.0,0.0,0.0,0.392,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,249.79
0.0,0.0,1.23,0.23,0.0,0.18,0.0,0.0,0.43,0.0,0.0,0.0,0.0,250.227
0.0,0.28,0.0,0.35,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.27,251.213
0.0,0.0,1.1,0.148,0.0,0.249,0.0,0.0,0.0,0.0,0.162,0.146,0.0,248.613
0.0,0.418,0.0,0.263,0.0,0.27,0.0,0.128,0.0,0.0,0.0,0.0,0.0,251.095
0.0,0.0,1.65,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.18,247.475
0.0,0.588,0.0,0.193,0.0,0.0,0.114,0.0,0.0,0.0,0.315,0.0,0.0,250.665
0.0,0.0,1.445,0.0,0.685,0.0,0.0,0.0,0.483,0.0,0.0,0.0,0.0,248.7
0.0,0.0,1.2,0.088,0.6,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,250.005
0.0,0.576,0.0,0.152,0.801,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,250.214
0.38,0.0,0.0,0.31,0.0,0.0,0.1,0.0,0.0,0.0,0.38,0.0,0.0,246.875
0.0,0.266,0.0,0.37,0.0,0.0,0.062,0.0,0.45,0.0,0.0,0.0,0.0,250.346
0.0,0.0,1.518,0.0,0.0,0.0,0.094,0.0,0.482,0.0,0.0,0.0,0.0,250.318
0.0,0.783,0.0,0.0,0.923,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.147,248.016
0.0,0.429,0.0,0.176,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,250.995
0.0,0.0,1.35,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,249.911
0.0,0.0,1.4,0.08,0.64,0.0,0.0,0.11,0.0,0.044,0.0,0.0,0.0,248.45
0.0,0.0,0.0,0.67,0.39,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.22,251.759
0.0,0.0,1.57,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,248.32
0.0,0.683,0.0,0.098,0.964,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,249.518
0.0,0.0,1.013,0.094,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,249.001
0.272,0.0,0.0,0.186,0.923,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.0,250.689
0.0,0.0,1.528,0.0,0.0,0.349,0.0,0.0,0.0,0.406,0.0,0.0,0.0,248.956
0.0,0.383,0.0,0.273,0.0,0.251,0.0,0.0,0.489,0.007,0.0,0.0,0.0,249.968
0.0,0.0,1.216,0.078,0.63,0.0,0.0,0.0,0.484,0.0,0.008,0.0,0.0,248.534
0.0,0.0,1.282,0.059,0.678,0.0,0.0,0.0,0.0,0.0,0.158,0.151,0.0,249.833
0.0,0.0,1.13,0.11,0.0,0.16,0.0,0.1,0.0,0.02,0.0,0.0,0.0,249.089
0.0,0.0,1.34,0.114,0.66,0.0,0.0,0.0,0.38,0.0,0.068,0.0,0.0,248.534
0.0,0.0,1.283,0.062,0.678,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,249.243
0.0,0.0,1.591,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.313,0.0,0.0,249.666
0.0,0.0,0.0,0.451,0.0,0.164,0.0,0.0,0.534,0.0,0.0,0.0,0.0,250.169
0.0,0.0,1.21,0.08,0.623,0.0,0.0,0.0,0.499,0.0,0.0,0.0,0.0,250.545
0.0,0.0,1.25,0.1,0.51,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.24,248.98
0.0,0.0,1.46,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.22,250.871
0.0,0.0,0.0,0.44,0.342,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,249.476
0.0,0.3,0.0,0.23,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,250.995
0.0,0.0,0.0,0.402,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.27,251.52
0.0,0.0,1.1,0.06,0.53,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.0,249.833
0.0,0.0,0.0,0.74,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,250.227
0.0,0.0,0.0,0.77,0.0,0.0,0.054,0.0,0.0,0.07,0.0,0.0,0.21,251.52
0.0,0.0,1.64,0.0,0.0,0.22,0.0,0.0,0.46,0.0,0.0,0.0,0.0,248.24
0.0,0.0,1.294,0.1,0.0,0.0,0.097,0.0,0.0,0.41,0.0,0.0,0.0,251.563
0.0,0.0,1.065,0.153,0.0,0.251,0.0,0.124,0.0,0.0,0.0,0.0,0.0,250.652
0.0,0.0,1.328,0.0,0.609,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.178,248.723
0.0,0.67,0.0,0.105,0.958,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,250.98
0.0,0.0,1.6,0.055,0.0,0.23,0.0,0.0,0.0,0.33,0.0,0.0,0.0,250.548
0.313,0.0,0.0,0.7,0.725,0.0,0.0,0.0,0.46,0.09,0.0,0.0,0.0,245.441
0.0,0.0,1.15,0.066,0.57,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,248.859
0.0,0.0,0.8,0.34,0.0,0.0,0.064,0.13,0.0,0.0,0.0,0.0,0.0,251.547
0.0,0.0,1.302,0.056,0.678,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,250.005
0.0,0.593,0.0,0.19,0.0,0.0,0.114,0.0,0.0,0.41,0.0,0.0,0.0,251.174
0.0,0.0,0.96,0.18,0.0,0.224,0.0,0.0,0.496,0.002,0.0,0.0,0.0,249.783
0.0,0.0,0.0,0.402,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.259,250.227
0.0,0.0,1.036,0.164,0.0,0.0,0.074,0.0,0.502,0.0,0.0,0.0,0.0,250.903
0.0,0.77,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.44,0.0,0.0,250.665
0.0,0.95,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.15,248.016
0.0,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.22,251.554
0.0,0.0,1.18,0.11,0.0,0.0,0.05,0.0,0.0,0.021,0.0,0.0,0.22,248.375
0.0,0.0,0.0,0.8,0.47,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,249.976
0.148,0.0,0.0,0.283,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.261,250.656
0.0,0.49,0.0,0.2,0.67,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,251.451
0.12,0.0,0.0,0.39,0.73,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,248.95
0.0,0.0,1.514,0.0,0.0,0.288,0.0,0.0,0.466,0.0,0.0,0.0,0.0,248.412
0.0,0.348,0.0,0.244,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.257,251.41
0.086,0.0,0.0,0.4,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.26,250.163
0.0,0.0,0.0,0.85,0.53,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,249.476
0.25,0.0,0.0,0.15,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,246.953
0.0,0.833,0.0,0.0,0.996,0.0,0.0,0.0,0.34,0.0,0.097,0.0,0.0,248.683
0.0,0.419,0.0,0.263,0.0,0.271,0.0,0.127,0.0,0.0,0.0,0.0,0.0,249.48
0.0,0.0,1.51,0.0,0.0,0.0,0.045,0.0,0.43,0.0,0.0,0.0,0.0,250.318
0.0,0.0,0.99,0.171,0.0,0.229,0.0,0.0,0.469,0.0,0.017,0.0,0.0,249.156
0.0,0.0,1.42,0.08,0.64,0.0,0.0,0.114,0.0,0.0,0.042,0.0,0.0,249.243
0.0,0.0,0.0,0.392,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,251.554
